TICKER,INTERCEPT,COEFFICIENT1
CI,0.7359,-0.2253
CINF,0.4988,-0.1654
CL,0.7132,-0.2036
CLF,0.3346,-0.0969
CLX,0.5182,-0.1458
CMA,0.1652,-0.0552
CMC,0.6651,-0.2268
CMCO,0.6382,-0.1963
CMI,0.4908,-0.1188
CMS,0.2433,-0.0715
CMTL,0.1035,0.009
CNMD,0.308,-0.0691
CNOB,0.464,-0.1452
CNP,0.0585,-0.0009
COF,0.294,-0.0921
COHR,0.7499,-0.1681
COKE,0.1942,-0.0259
COLB,0.4885,-0.1505
COO,0.4359,-0.0795
COP,0.1489,-0.0295
COST,0.1624,-0.004
CPB,0.5785,-0.2164
CPK,0.0804,0.0278
CPRT,0.8994,-0.1879
CPT,0.2151,-0.0314
CR,0.5349,-0.17
CRD/A,0.2818,-0.1422
CRMT,0.2387,-0.0317
CRS,0.6777,-0.2423
CRVL,0.9464,-0.2322
CSCO,0.3588,-0.0859
CSGS,0.3702,-0.1151
CSL,0.6144,-0.1692
CSX,0.2614,-0.0382
CTAS,0.526,-0.1206
CTBI,0.5907,-0.2259
CTO,0.3981,-0.1203
CTRA,0.0036,0.0349
CTS,0.2394,-0.0725
CVBF,0.5936,-0.1898
CVS,1.1403,-0.3494
CVX,0.3167,-0.1034
CW,1.0156,-0.2905
CWT,0.0224,0.0306
D,0.2785,-0.0788
DCI,1.192,-0.3325
DCO,0.0478,0.0103
DDS,0.3458,-0.0911
DE,0.7019,-0.2051
DECK,1.1414,-0.256
DGICA,0.4158,-0.1668
DGII,0.3244,-0.0913
DHI,0.2795,-0.0518
DHR,0.547,-0.1158
DIN,0.8494,-0.2837
DINO,0.7961,-0.2538
DIOD,1.2095,-0.3108
DIS,1.2664,-0.3614
DJCO,0.6873,-0.1707
DLTR,1.0964,-0.2655
DLX,0.5534,-0.2579
DORM,0.6944,-0.1592
DOV,0.5513,-0.184
DRI,0.3566,-0.0843
DTE,0.0718,0.0206
DUK,0.0663,0.0053
DVA,-0.0197,0.0387
DVN,-0.1841,0.0865
DY,0.3944,-0.0864
EA,0.5283,-0.0963
EAT,0.834,-0.2638
EBF,0.3145,-0.1338
ECL,0.8753,-0.2116
ED,0.1012,-0.0069
EFX,0.2713,-0.0502
EGP,0.1463,0.0
EIX,0.4841,-0.1988
EL,0.5265,-0.1018
ELS,0.0528,0.032
EMN,0.2382,-0.0554
EMR,0.7276,-0.2481
EOG,0.8658,-0.2262
EPAC,0.6334,-0.2285
EQC,0.0918,-0.018
EQR,0.1799,-0.0199
EQT,0.8386,-0.2821
