TICKER,NAME,REGION,HOLDING,MARKET_CAP,STYLE,SECTOR,SECURITY_TYPE,ASSET_CLASS,DURATION,CREDIT,CLASSIFICATION,MIN,MAX
REGL,Proshares S&P Midcap 400 Dividend Aristocrats ETF,U.S.,Satellite,Mid-cap,Value,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Value ETP,0.0000,0.2500
REGN,Regeneron Pharmaceuticals Inc,U.S.,Satellite,Large-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Growth Common Stock,0.0000,0.0300
REKR,Rekor Systems Inc,U.S.,Satellite,Small-cap,Growth,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0100
RELY,Remitly Global Inc,U.S.,Satellite,Small-cap,Blend,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0200
REM,iShares Mortgage Real Estate ETF,U.S.,Satellite,Broad Market,Value,Real Estate,ETP,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Broad Market Value ETP,0.0000,0.0313
REMX,VanEck Rare Earth/Strategic Metals ETF,Global,Satellite,Broad Market,Growth,Materials,ETP,Equity,Non-Fixed Income,Non-Fixed Income,Global Broad Market Growth ETP,0.0000,0.0313
RERE,ATRenew Inc,China,Satellite,Broad Market,Multi-Style,Consumer Discretionary,ADR,Equity,Non-Fixed Income,Non-Fixed Income,China ADR,0.0000,0.0200
RES,RPC Inc,U.S.,Satellite,Small-cap,Blend,Energy,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0200
RETA,Reata Pharmaceuticals Inc,U.S.,Satellite,Small-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0200
REV,Revlon Inc,U.S.,Satellite,Small-cap,Value,Consumer Staples,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0100
REVG,REV Group Inc,U.S.,Satellite,Small-cap,Value,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0200
REVS,Columbia Research Enhanced Value ETF,U.S.,Satellite,Large-cap,Value,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Value ETP,0.0000,0.2500
REX,REX American Resources Corp,U.S.,Satellite,Small-cap,Value,Energy,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0300
REXR,Rexford Industrial Realty Inc,U.S.,Satellite,Non-Equity,Non-Equity,Real Estate,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Real Estate REIT,0.0000,0.0500
REYN,Reynolds Consumer Products Inc,U.S.,Satellite,Mid-cap,Blend,Consumer Staples,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Blend Common Stock,0.0000,0.0500
REZ,iShares Residential and Multisector Real Estate ETF,U.S.,Satellite,Broad Market,Value,Real Estate,ETP,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Broad Market Value ETP,0.0000,0.0313
REZI,Resideo Technologies Inc,U.S.,Satellite,Small-cap,Value,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0200
RF,Regions Financial Corp,U.S.,Satellite,Mid-cap,Blend,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Blend Common Stock,0.0000,0.0100
RFL,Rafael Holdings Inc,U.S.,Satellite,Small-cap,Growth,Real Estate,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0100
RFV,Invesco S&P MidCap 400 Pure Value ETF,U.S.,Satellite,Mid-cap,Value,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Value ETP,0.0000,0.0313
RGA,Reinsurance Group of America Inc,U.S.,Satellite,Mid-cap,Value,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Value Common Stock,0.0000,0.0400
RGEN,Repligen Corp,U.S.,Satellite,Mid-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Growth Common Stock,0.0000,0.0200
RGI,Invesco S&P 500 Equal Weight Industrials ETF,U.S.,Satellite,Large-cap,Value,Industrials,ETP,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Value ETP,0.0000,0.0625
RGLD,Royal Gold Inc,U.S.,Satellite,Mid-cap,Growth,Materials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Growth Common Stock,0.0000,0.0300
RGNX,REGENXBIO Inc,U.S.,Satellite,Small-cap,Blend,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0300
RGP,Resources Connection Inc,U.S.,Satellite,Small-cap,Value,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0300
RGR,Sturm Ruger & Co Inc,U.S.,Satellite,Small-cap,Blend,Consumer Discretionary,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0300
RGS,Regis Corp,U.S.,Satellite,Small-cap,Value,Consumer Discretionary,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0100
RH,RH,U.S.,Satellite,Mid-cap,Blend,Consumer Discretionary,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Blend Common Stock,0.0000,0.0300
RHI,Robert Half International Inc,U.S.,Satellite,Mid-cap,Blend,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Blend Common Stock,0.0000,0.0400
RHP,Ryman Hospitality Properties Inc,U.S.,Satellite,Non-Equity,Non-Equity,Real Estate,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Real Estate REIT,0.0000,0.0200
RHS,Invesco S&P 500 Equal Weight Consumer Staples ETF,U.S.,Satellite,Large-cap,Value,Consumer Staples,ETP,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Value ETP,0.0000,0.2500
RICK,RCI Hospitality Holdings Inc,U.S.,Satellite,Small-cap,Blend,Consumer Discretionary,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0200
RIET,Hoya Capital High Dividend Yield ETF,U.S.,Satellite,Broad Market,Blend,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Broad Market Blend ETP,0.0000,0.5000
RIG,Transocean Ltd,U.S.,Satellite,Small-cap,Value,Energy,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0100
RIGL,Rigel Pharmaceuticals Inc,U.S.,Satellite,Small-cap,Blend,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0100
RIGS,Riverfront Strategic Income Fund,U.S.,Satellite,Non-Equity,Non-Equity,Non-Equity,ETP,Fixed Income,Non-Specified,Non-Specified,U.S. Fixed Income,0.0000,0.1250
