TICKER,NAME,CLASSIFICATION,CAPE,FWD_RETURN_FORECAST,LOWER_CONFIDENCE,UPPER_CONFIDENCE,F_PVALUE,MINIMUM_CAPE,MAXIMUM_CAPE,RSQUARED
CSX,CSX Corp,U.S. Large-cap Growth Common Stock,26.66,0.1387,-0.0588,0.3367,0.0168,6.41,38.62,0.0245
CTAS,Cintas Corp,U.S. Large-cap Growth Common Stock,61.07,0.0383,-0.2472,0.3229,0.0,9.24,68.02,0.1313
CTBI,Community Trust Bancorp Inc,U.S. Small-cap Blend Common Stock,9.64,0.0745,-0.0025,0.1504,0.0,4.34,16.55,0.7222
CTO,CTO Realty Growth Inc,Real Estate REIT,15.02,0.0681,-0.1373,0.2733,0.0,7.1,45.24,0.2118
CTRA,Coterra Energy Inc,U.S. Mid-cap Blend Common Stock,3.78,0.0476,-0.2606,0.3556,0.0151,14.75,6661.01,0.0397
CTS,CTS Corp,U.S. Small-cap Blend Common Stock,36.16,-0.0131,-0.2828,0.256,0.0019,2.67,88.9,0.0891
CVBF,CVB Financial Corp,U.S. Small-cap Growth Common Stock,12.55,0.1049,-0.0531,0.2619,0.0,5.3,23.15,0.3686
CVS,CVS Health Corp,U.S. Large-cap Value Common Stock,11.17,0.2815,0.1784,0.3846,0.0,11.42,34.58,0.737
CVX,Chevron Corp,U.S. Large-cap Blend Common Stock,19.96,0.0172,-0.1021,0.1364,0.0088,5.61,13.31,0.056
CW,Curtiss-Wright Corp,U.S. Mid-cap Blend Common Stock,29.7,0.0361,-0.0835,0.1566,0.0,12.85,39.7,0.6435
CWT,California Water Service Group,U.S. Small-cap Growth Common Stock,33.23,0.1249,0.0103,0.2391,0.0082,7.08,37.77,0.0256
D,Dominion Energy Inc,U.S. Large-cap Blend Common Stock,12.01,0.0776,0.0013,0.1544,0.0,3.96,18.38,0.398
DCI,Donaldson Co Inc,U.S. Mid-cap Blend Common Stock,26.01,0.1062,0.0374,0.1749,0.0,14.31,32.62,0.7419
DCO,Ducommun Inc,U.S. Small-cap Value Common Stock,21.63,0.0943,-0.0992,0.2877,0.0049,0.25,33.62,0.0588
DDS,Dillard's Inc,U.S. Small-cap Value Common Stock,22.31,0.0733,-0.3745,0.5209,0.0006,2.26,66.26,0.0893
DE,Deere & Co,U.S. Large-cap Blend Common Stock,31.48,0.0275,-0.1375,0.1917,0.0,7.91,32.63,0.2241
DECK,Deckers Outdoor Corp,U.S. Mid-cap Growth Common Stock,50.19,0.1398,-0.2027,0.4811,0.0,5.49,115.04,0.5578
DGICA,Donegal Group Inc,U.S. Small-cap Value Common Stock,19.54,-0.0667,-0.1615,0.0278,0.0,2.78,21.8,0.669
DGII,Digi International Inc,U.S. Small-cap Growth Common Stock,123.74,-0.1053,-0.3462,0.1354,0.0,3.26,86.54,0.1957
DHI,DR Horton Inc,U.S. Large-cap Blend Common Stock,18.21,0.1357,-0.2094,0.4812,0.0052,2.34,74.79,0.0223
DHR,Danaher Corp,U.S. Large-cap Growth Common Stock,44.81,0.1037,-0.0163,0.2241,0.0,15.14,52.1,0.1662
DIN,Dine Brands Global Inc,U.S. Small-cap Blend Common Stock,9.97,0.1882,0.0304,0.3454,0.0,2.58,28.74,0.6111
DINO,HF Sinclair Corp,U.S. Mid-cap Value Common Stock,11.8,0.165,-0.1685,0.5007,0.0,2.38,35.41,0.4898
DIOD,Diodes Inc,U.S. Small-cap Blend Common Stock,34.33,0.1155,-0.1699,0.398,0.0,6.93,79.14,0.5322
DIS,Walt Disney Co/The,U.S. Large-cap Blend Common Stock,17.48,0.2286,0.0913,0.367,0.0,12.09,46.25,0.5951
DLTR,Dollar Tree Inc,U.S. Mid-cap Blend Common Stock,28.37,0.2065,0.0548,0.3598,0.0,17.11,56.56,0.5078
DLX,Deluxe Corp,U.S. Small-cap Value Common Stock,3.61,0.2123,0.0169,0.4101,0.0,1.44,16.21,0.6649
DORM,Dorman Products Inc,U.S. Small-cap Blend Common Stock,22.09,0.2037,-0.0655,0.4721,0.0,2.33,56.22,0.3992
DOV,Dover Corp,U.S. Mid-cap Blend Common Stock,25.82,-0.0184,-0.1678,0.1313,0.0,5.19,19.71,0.1754
DRI,Darden Restaurants Inc,U.S. Mid-cap Blend Common Stock,32.8,0.0716,-0.0365,0.1799,0.0,5.68,27.14,0.1084
DTE,DTE Energy Co,U.S. Mid-cap Blend Common Stock,17.2,0.1308,0.0223,0.2398,0.0009,2.61,18.38,0.05
DVN,Devon Energy Corp,U.S. Mid-cap Blend Common Stock,18.66,0.0964,-0.176,0.3695,0.0,2.84,32.11,0.1276
DY,Dycom Industries Inc,U.S. Small-cap Value Common Stock,31.73,0.0897,-0.2385,0.4199,0.0,4.32,1501.17,0.2521
EA,Electronic Arts Inc,U.S. Large-cap Growth Common Stock,31.49,0.1924,-0.1996,0.585,0.0002,18.53,294.83,0.0772
EAT,Brinker International Inc,U.S. Small-cap Value Common Stock,11.14,0.1911,0.03,0.3509,0.0,3.53,30.24,0.5597
