TICKER,NAME,INDEX_NAME,CAPE,FWD_RETURN_FORECAST,LOWER_CONFIDENCE,UPPER_CONFIDENCE,F_PVALUE,INDEX_TICKER,MINIMUM_CAPE,MAXIMUM_CAPE,RSQUARED
SLYV,SPDR S&P 600 Small CapValue ETF,S&P Small Cap 600 Value,11.42,0.2409,0.1761,0.307,0.0,SMLV,10.09,26.299999999999997,0.7285
VIOV,Vanguard S&P Small-Cap 600 Value ETF,S&P Small Cap 600 Value,11.42,0.2409,0.1761,0.307,0.0,SMLV,10.09,26.299999999999997,0.7285
SMH,VanEck Semiconductor ETF,Philadelphia Stock Exchange Semiconductor,36.82,0.0592,-0.1548,0.2734,0.0,SOX,13.470000000000002,58.14000000000001,0.3442
SOXX,iShares Semiconductor ETF,Philadelphia Stock Exchange Semiconductor,36.82,0.0592,-0.1548,0.2734,0.0,SOX,13.470000000000002,58.14000000000001,0.3442
XHB,SPDR S&P Homebuilders ETF,S&P Homebuilding Select Industry,21.3,0.0358,-0.2219,0.293,0.0,SPSIHO,4.93,32.540000000000006,0.1558
XME,SPDR S&P Metals & Mining ETF,S&P Metals and Mining Select Industry,15.08,0.0363,-0.2439,0.3172,0.0,SPSIMM,6.359999999999999,42.809999999999995,0.1489
SSPY,Syntax Stratified Large Cap ETF,S&P 500 Equal Weighted,20.35,0.0744,0.0108,0.1378,0.0,SPW,10.820000000000002,25.700000000000003,0.4457
ESGU,iShares ESG Aware MSCI USA ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
BBUS,JPMorgan BetaBuilders US Equity ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
ILCB,iShares Morningstar US Equity ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
GSUS,Goldman Sachs MarketBeta US Equity ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
ITOT,iShares Core S&P Total US Stock Market ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
IVV,iShares Core S&P 500 ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
IWB,iShares Russell 1000 ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
IWL,iShares Russell Top 200 ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
JUST,Goldman Sachs JUST US Large Cap Equity ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
IYY,iShares Dow Jones U.S. ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
IWV,iShares Russell 3000 ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
JHML,John Hancock Multi-Factor Large Cap ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
OVL,Overlay Shares Large Cap Equity ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
SCHK,Schwab 1000 Index ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
SCHX,Schwab US Large-Cap ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
SNPE,Xtrackers S&P 500 ESG ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
SPLG,SPDR Portfolio S&P 500 ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
SPY,SPDR S&P 500 ETF Trust,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
SPYX,SPDR S&P 500 Fossil Fuel Reserves Free ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
VTI,Vanguard Total Stock Market ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
VV,Vanguard Large-Cap ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
SCHB,Schwab US Broad Market ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
VONE,Vanguard Russell 1000,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
VOO,Vanguard S&P 500 ETF,S&P 500 INDEX,27.43,0.0177,-0.0923,0.1281,0.0,SPX,10.539999999999997,38.43,0.4518
IUSV,iShares Core S&P U.S. Value ETF,S&P 500 Value,20.92,-0.0148,-0.1039,0.0739,0.0,SVX,7.9399999999999995,21.430000000000003,0.4733
IVE,iShares S&P 500 Value ETF,S&P 500 Value,20.92,-0.0148,-0.1039,0.0739,0.0,SVX,7.9399999999999995,21.430000000000003,0.4733
SPYV,SPDR Portfolio S&P 500 Value ETF,S&P 500 Value,20.92,-0.0148,-0.1039,0.0739,0.0,SVX,7.9399999999999995,21.430000000000003,0.4733
VOOV,Vanguard S&P 500 Value ETF,S&P 500 Value,20.92,-0.0148,-0.1039,0.0739,0.0,SVX,7.9399999999999995,21.430000000000003,0.4733
